,GB,ZSwing,ERA,ER,OBP,SV,K9,Unnamed0,ZContact,Win_Percent
97,42.5,67.3,3.77,611.0,0.332,41.0,9.54,98.0,88.6,0.5617283950617284
98,45.2,70.3,4.33,699.0,0.322,51.0,8.73,99.0,84.7,0.558282208588957
99,39.6,69.1,4.6,728.0,0.3,37.0,7.67,100.0,86.0,0.3950617283950617
100,44.0,65.1,3.11,503.0,0.329,46.0,10.44,101.0,87.2,0.6358024691358025
101,43.1,68.9,4.95,787.0,0.305,33.0,7.27,102.0,86.5,0.3580246913580246
102,42.1,65.8,4.15,663.0,0.313,35.0,8.68,103.0,85.8,0.4938271604938271
103,44.9,64.5,3.4,557.0,0.333,48.0,9.54,104.0,84.1,0.5644171779141104
104,40.9,65.1,4.76,763.0,0.303,30.0,7.8,105.0,86.0,0.391304347826087
105,43.2,65.6,3.73,606.0,0.323,49.0,8.8,106.0,84.9,0.588957055214724
106,41.6,65.7,4.5,722.0,0.318,37.0,8.59,107.0,87.2,0.4814814814814814
107,42.1,67.5,4.07,661.0,0.312,41.0,8.91,108.0,84.7,0.4753086419753086
108,42.9,66.3,3.78,611.0,0.329,49.0,10.1,109.0,85.2,0.6172839506172839
109,43.6,68.7,3.82,622.0,0.325,44.0,7.6,110.0,85.2,0.5987654320987654
110,45.4,66.0,4.15,666.0,0.314,44.0,9.12,111.0,84.3,0.4938271604938271
111,43.4,69.2,4.0,638.0,0.317,40.0,8.38,112.0,86.0,0.5093167701863354
112,44.4,66.6,4.41,714.0,0.297,36.0,8.64,113.0,83.6,0.4074074074074074
113,42.5,67.0,4.13,664.0,0.314,60.0,8.25,114.0,88.2,0.5493827160493827
114,44.5,68.5,3.95,642.0,0.3,36.0,7.82,115.0,84.4,0.4506172839506173
115,44.6,65.6,3.85,623.0,0.321,43.0,8.27,116.0,86.0,0.5432098765432098
116,43.9,69.0,3.75,603.0,0.333,52.0,8.83,117.0,84.8,0.5555555555555556
117,43.0,64.5,4.92,783.0,0.318,42.0,7.05,118.0,84.8,0.4135802469135802
118,42.5,68.3,4.85,773.0,0.312,39.0,8.15,119.0,85.0,0.4506172839506173
119,41.2,67.3,4.04,649.0,0.335,40.0,8.82,120.0,85.8,0.5061728395061729
120,43.1,68.3,4.25,691.0,0.323,45.0,8.77,121.0,85.4,0.5246913580246914
121,45.2,71.2,4.2,677.0,0.336,44.0,8.64,122.0,82.4,0.5987654320987654
122,40.5,69.3,5.67,909.0,0.31,27.0,7.78,123.0,84.3,0.3333333333333333
123,42.6,69.6,4.7,768.0,0.34,33.0,9.99,124.0,84.7,0.5185185185185185
124,45.9,68.4,4.1,657.0,0.331,38.0,9.01,125.0,83.4,0.5185185185185185
125,43.2,68.7,4.91,770.0,0.314,33.0,8.36,126.0,84.4,0.4472049689440994
126,44.3,70.3,4.18,668.0,0.315,46.0,9.71,127.0,85.1,0.4629629629629629
127,39.7,69.4,3.79,606.0,0.323,42.0,9.44,128.0,86.0,0.5740740740740741
128,46.1,70.4,5.58,898.0,0.326,28.0,7.85,129.0,84.4,0.4382716049382716
129,42.7,68.8,5.26,837.0,0.294,31.0,8.59,130.0,83.2,0.2919254658385093
130,43.6,66.3,3.66,595.0,0.352,47.0,10.28,131.0,88.4,0.6604938271604939
131,43.9,69.2,5.2,824.0,0.309,37.0,7.77,132.0,86.2,0.3641975308641975
132,40.4,63.0,5.12,820.0,0.324,32.0,8.76,133.0,86.2,0.4444444444444444
133,44.9,67.5,3.39,545.0,0.338,44.0,9.46,134.0,85.2,0.654320987654321
134,38.3,67.0,4.74,760.0,0.298,27.0,8.59,135.0,85.6,0.3518518518518518
135,42.2,66.6,4.4,714.0,0.329,50.0,9.23,136.0,84.1,0.5493827160493827
136,41.8,70.8,4.18,680.0,0.338,50.0,9.0,137.0,85.8,0.6234567901234568
137,43.4,72.1,4.25,690.0,0.328,38.0,9.36,138.0,84.6,0.5308641975308642
138,42.4,68.7,4.31,691.0,0.339,50.0,9.57,139.0,85.0,0.6358024691358025
139,41.5,68.4,3.97,646.0,0.327,45.0,7.98,140.0,84.9,0.5987654320987654
140,43.1,67.9,4.53,732.0,0.319,36.0,8.62,141.0,84.5,0.5
141,42.2,72.3,5.19,830.0,0.321,31.0,9.02,142.0,86.9,0.4259259259259259
142,43.0,67.0,4.63,737.0,0.308,47.0,9.27,143.0,83.8,0.4320987654320987
143,43.4,66.7,5.0,799.0,0.316,34.0,7.75,144.0,82.9,0.419753086419753
144,42.2,70.7,4.38,715.0,0.302,41.0,8.38,145.0,84.4,0.4753086419753086
145,44.9,67.4,3.82,613.0,0.322,52.0,8.72,146.0,84.8,0.5617283950617284
146,44.1,69.5,3.67,602.0,0.325,46.0,9.9,147.0,84.5,0.5925925925925926
147,41.8,66.0,5.09,813.0,0.319,33.0,8.63,148.0,84.0,0.4814814814814814
148,43.1,67.9,4.79,767.0,0.305,33.0,8.32,149.0,84.5,0.4135802469135802
149,42.6,67.3,4.28,684.0,0.342,40.0,9.45,150.0,87.5,0.5740740740740741
150,38.4,68.1,4.84,279.0,0.312,13.0,9.1,151.0,84.7,0.4166666666666667
151,43.7,71.7,4.46,260.0,0.349,13.0,8.69,152.0,82.1,0.5833333333333334
152,42.6,70.7,4.51,260.0,0.321,11.0,8.45,153.0,83.6,0.4166666666666667
153,42.9,69.2,5.58,325.0,0.33,14.0,9.22,154.0,84.2,0.4
154,45.0,64.1,3.99,230.0,0.318,16.0,9.08,155.0,83.6,0.5666666666666667
155,44.2,67.1,3.81,223.0,0.326,13.0,8.93,156.0,82.8,0.5833333333333334
156,43.2,66.4,3.89,218.0,0.312,9.0,10.98,157.0,84.0,0.5166666666666667
157,40.5,67.3,3.29,196.0,0.317,20.0,10.43,158.0,84.7,0.5833333333333334
158,44.5,69.4,5.59,327.0,0.311,16.0,6.72,159.0,84.9,0.4333333333333333
159,42.2,69.6,5.63,308.0,0.303,11.0,8.12,160.0,83.7,0.396551724137931
160,44.2,68.4,4.31,251.0,0.312,16.0,9.03,161.0,87.8,0.4833333333333333
161,44.4,69.2,4.3,247.0,0.309,19.0,9.0,162.0,83.6,0.4333333333333333
162,39.4,63.1,5.09,297.0,0.332,12.0,8.96,163.0,85.5,0.4333333333333333
163,46.3,69.2,3.02,181.0,0.338,15.0,8.64,164.0,85.4,0.7166666666666667
164,45.2,66.1,4.86,272.0,0.319,18.0,8.05,165.0,83.3,0.5166666666666667
165,46.6,65.9,4.18,240.0,0.313,14.0,10.68,166.0,82.8,0.4833333333333333
166,40.8,67.6,3.58,204.0,0.315,17.0,9.38,167.0,85.1,0.6
167,41.7,71.7,5.01,286.0,0.348,11.0,10.06,168.0,85.9,0.4333333333333333
168,42.9,67.3,4.35,242.0,0.342,14.0,9.49,169.0,84.7,0.55
169,41.2,66.4,3.77,216.0,0.322,17.0,8.84,170.0,83.8,0.6
170,46.6,68.7,5.2,287.0,0.342,11.0,9.63,171.0,84.8,0.4666666666666667
171,43.4,69.3,4.68,267.0,0.284,6.0,9.4,172.0,84.5,0.3166666666666666
172,42.5,65.9,3.87,224.0,0.333,13.0,9.77,173.0,85.8,0.6166666666666667
173,40.3,64.9,5.03,289.0,0.309,15.0,8.17,174.0,82.8,0.45
174,38.8,69.8,4.64,267.0,0.335,13.0,8.48,175.0,84.2,0.4833333333333333
175,44.4,65.4,3.92,206.0,0.323,13.0,8.83,176.0,83.8,0.5172413793103449
176,45.1,66.8,3.56,209.0,0.328,23.0,9.42,177.0,80.5,0.6666666666666666
177,40.6,67.0,5.02,288.0,0.285,10.0,8.52,178.0,82.2,0.3666666666666666
178,43.1,69.4,4.63,270.0,0.325,17.0,8.9,179.0,84.1,0.5333333333333333
179,37.9,68.8,5.09,285.0,0.336,12.0,9.08,180.0,87.0,0.4333333333333333
180,40.2,66.7,5.15,811.0,0.309,22.0,7.86,181.0,84.6,0.3209876543209876
181,43.7,73.5,3.89,610.0,0.319,40.0,9.04,182.0,83.1,0.546583850931677
182,39.7,68.8,5.85,911.0,0.304,26.0,7.92,183.0,83.9,0.3209876543209876
183,44.2,69.9,4.27,674.0,0.328,49.0,9.68,184.0,83.6,0.5679012345679012
184,44.8,67.2,4.88,766.0,0.312,40.0,8.65,185.0,83.6,0.4382716049382716
185,41.2,68.3,3.73,581.0,0.336,43.0,10.18,186.0,85.6,0.5740740740740741
186,44.2,69.2,4.41,703.0,0.328,41.0,9.56,187.0,85.5,0.5123456790123457
187,42.6,68.8,4.34,679.0,0.303,39.0,8.89,188.0,84.2,0.4938271604938271
188,44.8,70.5,4.83,749.0,0.317,33.0,8.18,189.0,85.1,0.4596273291925465
189,44.5,69.3,4.32,681.0,0.308,42.0,7.98,190.0,83.2,0.4753086419753086
190,44.7,66.7,3.8,610.0,0.339,34.0,9.07,191.0,88.0,0.5864197530864198
191,42.2,72.1,4.64,731.0,0.306,37.0,8.53,192.0,86.0,0.4567901234567901
192,44.5,67.4,4.69,741.0,0.31,39.0,9.2,193.0,85.4,0.4753086419753086
193,44.5,68.6,3.03,489.0,0.33,56.0,9.91,194.0,85.0,0.654320987654321
194,44.6,67.3,3.96,622.0,0.298,33.0,8.78,195.0,84.0,0.4135802469135802
195,44.5,68.0,3.5,558.0,0.317,44.0,10.14,196.0,84.1,0.5864197530864198
196,41.0,69.4,4.83,762.0,0.314,42.0,8.35,197.0,84.3,0.4506172839506173
197,42.5,71.5,3.9,597.0,0.315,41.0,9.48,198.0,84.1,0.4753086419753086
198,41.9,66.9,3.76,600.0,0.322,47.0,9.84,199.0,83.0,0.5679012345679012
199,40.3,69.7,4.02,640.0,0.317,39.0,8.37,200.0,85.0,0.5308641975308642
200,45.4,68.6,4.39,692.0,0.318,36.0,9.39,201.0,83.8,0.5061728395061729
201,40.9,68.4,5.08,788.0,0.309,25.0,8.46,202.0,87.0,0.3765432098765432
202,42.8,67.2,4.1,651.0,0.321,43.0,9.55,203.0,86.2,0.4876543209876543
203,40.5,68.4,4.3,688.0,0.303,51.0,8.3,204.0,83.9,0.5555555555555556
204,45.6,68.8,3.25,525.0,0.329,56.0,8.81,205.0,84.6,0.6604938271604939
205,43.7,68.2,4.0,629.0,0.313,50.0,7.78,206.0,84.4,0.5555555555555556
206,41.5,70.5,3.67,594.0,0.321,42.0,9.14,207.0,81.7,0.6172839506172839
207,42.4,68.8,4.8,760.0,0.294,31.0,7.83,208.0,83.9,0.3703703703703703
208,43.0,72.5,3.91,610.0,0.33,34.0,9.4,209.0,86.7,0.5617283950617284
209,41.0,68.0,4.82,747.0,0.337,36.0,8.69,210.0,86.0,0.4012345679012346
210,39.8,66.7,4.25,676.0,0.304,33.0,7.65,211.0,85.6,0.4567901234567901
211,43.5,72.1,3.46,556.0,0.317,55.0,9.66,212.0,82.8,0.6234567901234568
212,43.2,71.2,3.97,633.0,0.305,46.0,7.62,213.0,85.1,0.5123456790123457
213,42.8,69.8,4.53,721.0,0.321,39.0,8.47,214.0,84.7,0.4814814814814814
214,43.1,69.2,4.03,646.0,0.311,44.0,8.62,215.0,83.8,0.4567901234567901
215,41.5,69.9,3.94,633.0,0.31,48.0,9.01,216.0,86.2,0.5
216,40.6,67.8,4.86,769.0,0.304,31.0,8.94,217.0,86.1,0.382716049382716
217,42.5,66.3,3.47,562.0,0.316,51.0,8.59,218.0,88.2,0.5679012345679012
218,44.1,68.0,5.08,804.0,0.315,43.0,7.5,219.0,86.8,0.419753086419753
219,41.7,70.9,4.04,637.0,0.286,38.0,7.58,220.0,85.2,0.4074074074074074
220,42.7,70.9,2.9,465.0,0.319,53.0,9.49,221.0,87.7,0.654320987654321
221,43.8,71.6,4.72,742.0,0.306,33.0,7.57,222.0,85.2,0.4012345679012346
222,42.2,69.7,3.79,604.0,0.297,38.0,8.67,223.0,83.6,0.4506172839506173
223,42.5,70.2,2.8,451.0,0.333,43.0,9.08,224.0,84.3,0.6851851851851852
224,44.6,69.2,3.87,618.0,0.294,41.0,9.0,225.0,85.4,0.4259259259259259
225,43.8,67.4,3.83,615.0,0.315,52.0,9.52,226.0,85.1,0.5308641975308642
226,40.0,68.5,3.98,636.0,0.317,28.0,8.37,227.0,85.7,0.4814814814814814
227,43.3,69.6,3.58,573.0,0.332,41.0,9.79,228.0,86.2,0.6234567901234568
228,44.1,66.2,3.3,533.0,0.325,47.0,9.05,229.0,84.5,0.6111111111111112
229,41.4,70.3,4.54,719.0,0.281,34.0,7.59,230.0,84.8,0.3703703703703703
230,44.2,68.4,3.98,631.0,0.317,42.0,8.97,231.0,86.1,0.5370370370370371
231,43.9,65.3,4.66,736.0,0.291,33.0,7.92,232.0,86.7,0.382716049382716
232,41.2,67.0,3.81,611.0,0.318,48.0,9.05,233.0,86.0,0.5493827160493827
233,39.8,69.4,3.59,577.0,0.315,40.0,8.65,234.0,85.7,0.5555555555555556
234,47.7,67.6,3.86,615.0,0.315,39.0,8.6,235.0,84.6,0.5
235,47.2,67.3,3.79,605.0,0.325,37.0,7.38,236.0,86.1,0.5740740740740741
236,42.5,70.0,3.41,544.0,0.309,44.0,8.68,237.0,83.8,0.5308641975308642
237,45.9,73.4,4.22,673.0,0.301,37.0,8.24,238.0,83.4,0.419753086419753
238,41.4,70.9,3.89,623.0,0.329,46.0,8.68,239.0,85.5,0.5679012345679012
239,41.5,69.3,5.0,785.0,0.31,28.0,7.78,240.0,86.0,0.3395061728395062
