,WPApitch,Batting,SH,AVGbat,ERAgainst,HBP,Zswingbat,EV,BABIP,Clutch,HRtoFBbat,IFFBpercent,FBpercent,HRtoFB,BBpercentpitch,BBpercentbat,OContactpitch,Zcontactbat,Win_Percent
118,-6.62,-2.5,5.0,0.244,773.0,58.0,68.3,89.2,0.306,-0.87,13.9,12.2,37.9,12.7,8.8,8.2,64.5,85.0,0.4506172839506173
119,1.76,6.1,41.0,0.254,649.0,59.0,67.3,88.4,0.287,-5.07,13.0,10.2,34.9,12.8,8.0,10.0,63.8,85.8,0.5061728395061729
120,5.48,-55.7,31.0,0.252,691.0,70.0,68.3,88.0,0.295,-1.24,14.5,10.3,35.4,15.2,8.3,8.6,63.5,85.4,0.5246913580246914
121,6.72,7.3,25.0,0.258,677.0,60.0,71.2,89.2,0.302,1.92,16.9,8.9,35.8,15.0,8.8,9.8,63.6,82.4,0.5987654320987654
122,-14.04,-93.3,22.0,0.246,909.0,71.0,69.3,88.0,0.295,-4.52,14.4,10.7,35.7,17.4,8.8,7.5,65.2,84.3,0.3333333333333333
123,3.21,48.7,20.0,0.269,768.0,49.0,69.6,89.9,0.312,-3.56,15.3,8.5,36.4,14.4,9.5,9.1,61.6,84.7,0.5185185185185185
124,0.23,2.8,30.0,0.252,657.0,83.0,68.4,88.9,0.3,-2.97,18.8,8.7,34.0,15.0,8.6,9.4,64.0,83.4,0.5185185185185185
125,-4.27,-65.0,36.0,0.261,770.0,66.0,68.7,89.1,0.302,2.17,14.2,9.5,32.2,15.9,9.4,6.3,63.0,84.4,0.4472049689440994
126,6.12,-121.3,30.0,0.244,668.0,89.0,70.3,87.4,0.286,-6.04,15.5,10.1,36.3,16.4,8.8,8.1,58.8,85.1,0.4629629629629629
127,15.93,-20.6,40.0,0.25,606.0,50.0,69.4,89.5,0.291,0.09,14.5,10.9,37.4,13.6,7.5,9.2,60.1,86.0,0.5740740740740741
128,-4.51,-106.6,51.0,0.265,898.0,43.0,70.4,88.5,0.308,-0.37,15.4,9.0,35.0,19.0,9.2,7.8,61.4,84.4,0.4382716049382716
129,-11.36,-174.2,9.0,0.24,837.0,48.0,68.8,88.1,0.317,-3.12,10.6,10.0,35.6,15.9,8.5,6.5,63.4,83.2,0.2919254658385093
130,16.51,197.3,10.0,0.274,595.0,66.0,66.3,88.3,0.27,-4.5,17.3,9.5,37.3,16.7,7.5,10.1,57.3,88.4,0.6604938271604939
131,-8.46,-124.5,24.0,0.247,824.0,59.0,69.2,88.0,0.311,-0.47,11.5,9.7,34.5,14.7,9.2,7.5,64.2,86.2,0.3641975308641975
132,-4.9,-35.0,4.0,0.247,820.0,67.0,63.0,88.0,0.29,-1.32,14.4,11.1,35.5,17.0,9.2,9.4,58.2,86.2,0.4444444444444444
133,10.84,80.6,55.0,0.257,545.0,81.0,67.5,89.3,0.271,1.22,17.8,8.7,37.6,14.1,6.6,9.7,61.6,85.2,0.654320987654321
134,-8.92,-171.7,31.0,0.241,760.0,73.0,67.0,88.3,0.281,-1.34,11.9,8.6,30.3,14.2,9.8,6.5,63.6,85.6,0.3518518518518518
